,timestamp,host,host_ip,ping_size,time,ttl,min,avg,max,stddev
69,2024-03-31 14:00:08,www.bithumb.com,23.43.165.80,64,4.893,51,4.893,4.893,4.893,0.0
70,2024-03-31 14:00:08,api.bithumb.com,23.52.32.184,64,6.038,51,6.038,6.038,6.038,
71,2024-03-31 14:00:08,www.upbit.com,104.17.186.185,64,6.956,52,6.956,6.956,6.956,0.0
72,2024-03-31 14:00:09,api.binance.com,52.84.252.75,64,5.862,244,5.862,5.862,5.862,0.0
73,2024-03-31 14:00:09,api.upbit.com,3.38.54.27,64,6.963,238,6.963,6.963,6.963,0.0
74,2024-03-31 14:00:09,www.bithumb.com,23.43.165.80,64,5.339,51,5.339,5.339,5.339,
75,2024-03-31 14:00:09,api.bitflyer.com,104.76.93.43,64,5.156,51,5.156,5.156,5.156,0.0
76,2024-03-31 14:00:09,api.bithumb.com,23.52.32.184,64,4.982,51,4.982,4.982,4.982,0.0
77,2024-03-31 14:00:09,www.upbit.com,104.17.186.185,64,6.783,52,6.783,6.783,6.783,
78,2024-03-31 14:00:10,api.binance.com,52.84.252.75,64,8.413,244,8.413,8.413,8.413,0.0
79,2024-03-31 14:00:10,api.upbit.com,3.38.54.27,64,5.551,238,5.551,5.551,5.551,0.0
80,2024-03-31 14:00:10,api.bitflyer.com,104.76.93.43,64,4.442,51,4.442,4.442,4.442,0.0
81,2024-03-31 14:00:10,www.bithumb.com,23.43.165.80,64,6.654,51,6.654,6.654,6.654,
82,2024-03-31 14:00:10,api.bithumb.com,23.52.32.184,64,6.004,51,6.004,6.004,6.004,0.0
83,2024-03-31 14:00:10,www.upbit.com,104.17.186.185,64,6.487,52,6.487,6.487,6.487,0.0
84,2024-03-31 14:00:11,api.binance.com,52.84.252.75,64,8.007,244,8.007,8.007,8.007,0.0
85,2024-03-31 14:00:11,api.upbit.com,3.38.54.27,64,7.599,238,7.599,7.599,7.599,
86,2024-03-31 14:00:11,www.bithumb.com,23.43.165.80,64,6.721,51,6.721,6.721,6.721,
87,2024-03-31 14:00:11,api.bitflyer.com,104.76.93.43,64,5.09,51,5.09,5.09,5.09,
88,2024-03-31 14:00:11,www.upbit.com,104.17.186.185,64,6.73,52,6.73,6.73,6.73,
89,2024-03-31 14:00:11,api.bithumb.com,23.52.32.184,64,5.996,51,5.996,5.996,5.996,0.0
90,2024-03-31 14:00:12,api.binance.com,52.84.252.75,64,6.338,244,6.338,6.338,6.338,0.0
91,2024-03-31 14:00:12,api.upbit.com,3.38.54.27,64,8.349,238,8.349,8.349,8.349,0.0
92,2024-03-31 14:00:12,www.upbit.com,104.17.186.185,64,6.671,52,6.671,6.671,6.671,0.0
